date,R,cumR
2024-01-02,-0.2579349130630631,-0.258
2024-01-03,0.17852980381909492,-0.079
2024-01-04,0.07532479857966468,-0.004
2024-01-05,0.045593575680254315,0.042
2024-01-08,1.5421358499452367,1.584
2024-01-09,0.021708115691085335,1.605
2024-01-10,0.11552532616107906,1.721
2024-01-11,0.012991647286127261,1.734
2024-01-12,0.003800598058508528,1.738
2024-01-15,0.02213828595188285,1.76
2024-01-16,0.039848272380982694,1.8
2024-01-17,0.1582757512213011,1.958
2024-01-18,-0.2087113373287086,1.749
2024-01-19,-0.339592454110605,1.41
2024-01-22,-0.12241244130595137,1.287
2024-01-23,0.00256019120336967,1.29
2024-01-24,-0.07816838933034456,1.212
2024-01-25,0.03920943394109438,1.251
2024-01-26,-0.03729561143280104,1.214
2024-01-29,-0.22544977844580674,0.988
2024-01-30,-0.12906592973771971,0.859
2024-01-31,-0.01260201870672198,0.846
2024-02-01,-0.05743573520164821,0.789
2024-02-02,-0.09048044248991494,0.698
2024-02-05,0.05698978498850281,0.755
2024-02-06,-0.20310596602683792,0.552
2024-02-07,-0.2926614745938648,0.26
2024-02-08,-0.012503672263578493,0.247
2024-02-09,-0.4344067505932966,-0.187
2024-02-12,-0.05090286349260615,-0.238
2024-02-13,-0.3012176420701968,-0.539
2024-02-14,-0.20943493705582653,-0.749
2024-02-15,-0.040920034134216514,-0.79
2024-02-16,0.1607496000576534,-0.629
2024-02-19,0.034648496302839324,-0.594
2024-02-20,-0.21116768840029534,-0.805
2024-02-21,-0.10021487454147895,-0.906
2024-02-22,-0.3827005648587915,-1.288
2024-02-23,0.054728941313322475,-1.234
2024-02-26,0.12136198489783798,-1.112
2024-02-27,0.09916372910284375,-1.013
2024-02-28,0.10412567698490917,-0.909
2024-02-29,-0.527138574361489,-1.436
2024-03-01,-0.6489296676815798,-2.085
2024-03-04,-0.06859191657331794,-2.154
2024-03-06,0.014733026502972828,-2.139
2024-03-07,-0.5987731638490815,-2.738
2024-03-08,0.10796254945755039,-2.63
2024-03-11,-0.05759001773271186,-2.687
2024-03-12,0.26351537009495496,-2.424
2024-03-13,0.13294228769934718,-2.291
2024-03-14,0.05010157756733979,-2.241
2024-03-15,0.30062664856737875,-1.94
2024-03-18,0.10060233375997693,-1.84
2024-03-19,0.03690154978310814,-1.803
2024-03-20,0.15356125595930722,-1.649
2024-03-21,0.014446247892809176,-1.635
2024-03-22,-0.03665998392037694,-1.671
2024-03-25,-0.06460829505277713,-1.736
2024-03-26,0.03206015463492821,-1.704
2024-03-27,0.037996917232962724,-1.666
2024-03-28,0.01543946311101739,-1.65
2024-04-01,-0.04020466828774892,-1.691
2024-04-02,-0.052130758295484046,-1.743
2024-04-03,-0.08541604623243376,-1.828
2024-04-04,0.3700895350353156,-1.458
2024-04-05,-1.0,-2.458
2024-04-08,-0.09011026485064921,-2.548
2024-04-09,-0.09416744037649646,-2.642
2024-04-10,0.22346218177617114,-2.419
2024-04-11,1.2708618876988043,-1.148
2024-04-12,0.5401934422665137,-0.608
2024-04-15,-0.6017663788796955,-1.21
2024-04-16,0.02432193284358422,-1.185
2024-04-17,-1.0,-2.185
2024-04-18,0.5232865107413638,-1.662
2024-04-19,0.18197701466578267,-1.48
2024-04-22,0.15900029030673282,-1.321
2024-04-23,0.37064856297745324,-0.95
2024-04-24,0.12924952012661603,-0.821
2024-04-25,-0.14387217473158131,-0.965
2024-04-26,-0.11978988071686958,-1.085
2024-04-29,0.006061316098770916,-1.079
2024-04-30,0.20518538877395512,-0.873
2024-05-01,0.08349545175811177,-0.79
2024-05-02,-0.29930302487107485,-1.089
2024-05-03,-0.8128933615571825,-1.902
2024-05-06,0.36758689179927445,-1.535
2024-05-07,0.011557522241807242,-1.523
2024-05-08,0.02302872893135303,-1.5
2024-05-09,-0.012449303445676217,-1.512
2024-05-10,-0.03699244985178748,-1.549
2024-05-13,-0.04470774009944061,-1.594
2024-05-14,0.15802378760299024,-1.436
2024-05-15,-0.11803088797518169,-1.554
2024-05-16,0.05379218322569668,-1.5
2024-05-17,0.04632257432570853,-1.454
2024-05-20,0.19944779780755964,-1.255
2024-05-21,-0.0416768214098812,-1.296
2024-05-22,-0.0003126625357090818,-1.297
2024-05-23,0.2881996565320751,-1.008
2024-05-24,-0.20423116035730776,-1.213
2024-05-27,0.1755812422225514,-1.037
2024-05-28,0.03378311733247393,-1.003
2024-05-29,0.20869262840747807,-0.795
2024-05-30,0.18341277839292947,-0.611
2024-05-31,0.07851713118375996,-0.533
2024-06-03,-0.0280829496274245,-0.561
2024-06-04,0.04783747859689414,-0.513
2024-06-05,0.37451351722807164,-0.138
2024-06-06,0.05945733592682791,-0.079
2024-06-07,0.025265744913709504,-0.054
2024-06-10,0.14783485519368686,0.094
2024-06-11,0.21329016430853248,0.307
2024-06-12,0.176600333405158,0.484
2024-06-13,-0.05574335119019124,0.428
2024-06-14,-0.11106758415197548,0.317
2024-06-17,0.6555833901054177,0.973
2024-06-18,0.0016909768849820061,0.975
2024-06-19,-0.023729323641698174,0.951
2024-06-20,-0.2940547632847741,0.657
2024-06-21,0.035247479144131046,0.692
2024-06-24,-0.4174577313035644,0.275
2024-06-25,0.2047269317334873,0.479
2024-06-26,0.0030486995402137546,0.482
2024-06-27,-0.22685250284917216,0.255
2024-06-28,0.11140680784011196,0.367
2024-07-01,0.2389158916598263,0.606
2024-07-02,0.42447332800167514,1.03
2024-07-03,-0.09323738362920206,0.937
2024-07-04,0.015567429409443993,0.953
2024-07-05,-0.22199140990454672,0.731
2024-07-08,0.13994869027131593,0.871
2024-07-09,-0.012175616766910096,0.858
2024-07-10,-0.11425870186380455,0.744
2024-07-11,0.22488301556107618,0.969
2024-07-12,-0.0567062505968911,0.912
2024-07-15,0.008128784387176614,0.92
2024-07-16,-0.08450355912508574,0.836
2024-07-17,-0.44936309650061707,0.387
2024-07-18,0.07405655721069392,0.461
2024-07-19,0.25668779364566574,0.717
2024-07-22,0.5608412542302718,1.278
2024-07-23,-0.011121469887389579,1.267
2024-07-24,-1.0,0.267
2024-07-25,-0.15170896741131676,0.115
2024-07-26,-0.036489860018490125,0.079
2024-07-29,0.10366733066613924,0.182
2024-07-30,-0.20018905191976152,-0.018
2024-07-31,-0.47604541806946515,-0.494
2024-08-01,0.9561734046398769,0.462
2024-08-02,0.6461810941989891,1.109
2024-08-05,0.06656418006432892,1.175
2024-08-06,0.27643194079165073,1.452
2024-08-07,-0.8671699568052881,0.584
2024-08-08,-0.6724829578990813,-0.088
2024-08-09,-0.07238306716720959,-0.16
2024-08-12,0.03224341914867398,-0.128
2024-08-13,0.7021804461359812,0.574
2024-08-14,0.0402044915711269,0.614
2024-08-15,-0.2956646369128179,0.319
2024-08-16,0.025209356864459496,0.344
2024-08-19,0.2463222118505606,0.59
2024-08-20,-0.13504138475706384,0.455
2024-08-21,-0.060081327918296984,0.395
2024-08-22,0.35044049802887317,0.745
2024-08-23,-0.07774571655962047,0.668
2024-08-26,-0.42985940486708335,0.238
2024-08-27,0.08059015327900047,0.318
2024-08-28,0.24099938456167258,0.559
2024-08-29,-0.09264539947692195,0.467
2024-08-30,-0.233312664116934,0.233
2024-09-02,0.058482377458839385,0.292
2024-09-03,-0.3801060927387402,-0.088
2024-09-04,0.04798846282563372,-0.04
2024-09-05,-0.13397305714765817,-0.174
2024-09-06,0.2819525158372251,0.108
2024-09-09,0.6253021322106254,0.733
2024-09-10,-0.3246061996475218,0.408
2024-09-11,0.7132765200834069,1.122
2024-09-12,-0.35367274654054803,0.768
2024-09-13,-0.08131041490279316,0.687
2024-09-16,-0.09905175082933786,0.588
2024-09-17,0.03399179681242182,0.622
2024-09-18,-0.1832220183894121,0.438
2024-09-19,-0.2773569982941452,0.161
2024-09-20,-0.012216503781738448,0.149
2024-09-23,0.08720547660292281,0.236
2024-09-24,0.1525508050181135,0.389
2024-09-25,0.030525415748537264,0.419
2024-09-26,-0.00897976793807129,0.41
2024-09-27,0.04156634605383102,0.452
2024-09-30,0.05902808911207174,0.511
2024-10-01,0.15105717023209314,0.662
2024-10-02,0.1016944803675921,0.764
2024-10-03,-0.0742397984060197,0.689
2024-10-04,-0.3425706768894048,0.347
2024-10-07,-0.1862942791881818,0.16
2024-10-08,-1.0,-0.84
2024-10-09,-0.20514245967711847,-1.045
2024-10-10,0.010416934217040546,-1.034
2024-10-11,0.046995320614438875,-0.987
2024-10-14,0.14957803551113324,-0.838
2024-10-15,-0.1875335519164851,-1.025
2024-10-16,0.02460618263503852,-1.001
2024-10-17,-0.015738575731335146,-1.016
2024-10-18,-0.08829574884028013,-1.105
2024-10-21,0.04119069366670631,-1.064
2024-10-22,0.060528874403833255,-1.003
2024-10-23,-0.3416084655103544,-1.345
2024-10-24,-0.09968421162257482,-1.444
2024-10-25,-0.1847558756951485,-1.629
2024-10-28,-0.0603142905984406,-1.689
2024-10-29,0.32023599994992613,-1.369
2024-10-30,0.22983460407845566,-1.139
2024-10-31,-0.2848080732860706,-1.424
2024-11-01,-0.06860488587627879,-1.493
2024-11-04,-0.10287253939972182,-1.596
2024-11-05,0.15580606684978413,-1.44
2024-11-06,-0.403788190976048,-1.844
2024-11-07,0.4700224490119664,-1.374
2024-11-08,0.03449017719185015,-1.339
2024-11-11,-0.12411250390306049,-1.463
2024-11-12,-0.042155860419559404,-1.505
2024-11-13,0.022087114776661997,-1.483
2024-11-14,-0.05708603097435753,-1.54
2024-11-15,2.0,0.46
2024-11-18,0.022827041374876667,0.483
2024-11-19,-0.20012658462454477,0.282
2024-11-20,-0.3059716127631504,-0.024
2024-11-21,0.3808693375829391,0.357
2024-11-22,-0.08148832254579894,0.276
2024-11-25,-0.1191970312847883,0.157
2024-11-26,0.030572591026320928,0.187
2024-11-27,0.16206907801096448,0.349
2024-11-28,-0.03842164444193584,0.311
2024-11-29,-0.058276670422903805,0.253
2024-12-02,0.23263354393952637,0.485
2024-12-03,0.01759732096302603,0.503
2024-12-04,0.12832224624266425,0.631
2024-12-05,-0.011535763770185855,0.62
2024-12-06,-0.17665188535036888,0.443
2024-12-09,-0.16617022068892717,0.277
2024-12-10,-0.05201878651209934,0.225
2024-12-11,0.14940599315064987,0.374
2024-12-12,0.0362527249623992,0.41
2024-12-13,-0.05145013385279871,0.359
2024-12-16,0.17013373658186878,0.529
2024-12-17,-0.0637226846327375,0.465
2024-12-18,0.3305029027790692,0.796
2024-12-19,-0.03668455088161832,0.759
2024-12-20,-0.5345797591828815,0.225
2024-12-23,0.11707376409230605,0.342
2024-12-24,0.4443690996451178,0.786
2024-12-26,0.00999494915403036,0.796
2024-12-27,0.2391102643773083,1.035
2024-12-30,-0.09134869532699702,0.944
2024-12-31,-0.47202971285822753,0.472
2025-01-02,0.27129992900888217,0.743
2025-01-03,-0.39984209233345,0.343
2025-01-06,0.24568082147716877,0.589
2025-01-07,-0.3561627887377219,0.233
2025-01-08,-0.2746532476478144,-0.042
2025-01-09,-0.07328901218196772,-0.115
2025-01-10,0.34107893463967215,0.226
2025-01-13,-0.11476272136868024,0.111
2025-01-14,-0.19625567280619025,-0.085
2025-01-15,-1.0,-1.085
2025-01-16,0.08742038197123751,-0.998
2025-01-17,-0.4733208929926372,-1.471
2025-01-20,0.030372167038145076,-1.441
2025-01-21,0.23631801764421786,-1.204
2025-01-22,-0.12922680620830873,-1.334
2025-01-23,0.009246318893895978,-1.324
2025-01-24,0.14429049512347566,-1.18
2025-01-27,-0.11705844448289283,-1.297
2025-01-28,0.5162415893618313,-0.781
2025-01-29,0.011141272613017629,-0.77
2025-01-30,0.014776227366885214,-0.755
2025-01-31,0.05587867676192615,-0.699
2025-02-03,0.6854972766885744,-0.014
2025-02-04,-0.41463884974067894,-0.428
2025-02-05,-0.16815216321848137,-0.596
2025-02-06,0.00453454360224918,-0.592
2025-02-07,0.4381837712859851,-0.154
2025-02-10,-0.31147808917710856,-0.465
2025-02-11,0.0066329366177113325,-0.458
2025-02-12,-0.02174129724358593,-0.48
2025-02-13,-0.33244580694831216,-0.813
2025-02-14,-0.08237456635130118,-0.895
2025-02-17,-0.03281902096097912,-0.928
2025-02-18,0.05039016903517756,-0.877
2025-02-19,-0.02035328406812315,-0.898
2025-02-20,0.05730168663654835,-0.841
2025-02-21,0.19437634160841302,-0.646
2025-02-24,-0.1851789580616835,-0.831
2025-02-25,0.23643831381058267,-0.595
2025-02-26,0.1251976927464837,-0.47
2025-02-27,1.3621901807553476,0.893
2025-02-28,-0.05575487806439573,0.837
2025-03-03,-0.22841225156670325,0.608
2025-03-04,0.334958079250266,0.943
2025-03-05,-0.3499017139875675,0.593
2025-03-06,-1.0,-0.407
2025-03-07,0.0089989807629978,-0.398
2025-03-10,-1.0,-1.398
2025-03-11,0.1317857062906513,-1.266
2025-03-12,-0.34936846229322915,-1.615
2025-03-13,0.7489776868487047,-0.866
2025-03-14,-0.8854575794313603,-1.752
2025-03-17,0.7048741470095922,-1.047
2025-03-18,-0.42806561401861565,-1.475
2025-03-19,-0.1655686122347822,-1.64
2025-03-20,0.20883131024162496,-1.432
2025-03-21,-0.1433302342317296,-1.575
2025-03-24,1.0384622617893726,-0.536
2025-03-25,0.20723496651916026,-0.329
2025-03-26,-0.659647001094545,-0.989
2025-03-27,0.15480950418828937,-0.834
2025-03-28,1.2383856272183795,0.404
2025-03-31,0.21631586943202571,0.621
2025-04-01,0.19754536551494864,0.818
2025-04-02,0.26352725756324585,1.082
2025-04-03,0.7631838110814914,1.845
2025-04-04,-1.0,0.845
2025-04-07,-1.0,-0.155
2025-04-08,-1.0,-1.155
2025-04-09,2.0,0.845
2025-04-10,-1.0,-0.155
2025-04-11,-1.0,-1.155
2025-04-14,-0.21449315444832,-1.37
2025-04-15,0.11897178970087026,-1.251
2025-04-16,-0.2876570157935587,-1.538
2025-04-17,0.4215594533901248,-1.117
2025-04-21,-1.0,-2.117
2025-04-22,-1.0,-3.117
2025-04-23,2.0,-1.117
2025-04-24,-1.0,-2.117
2025-04-25,-0.20370548588996973,-2.32
2025-04-28,0.15443919664846995,-2.166
2025-04-29,0.06853682625274315,-2.097
2025-04-30,-1.0,-3.097
2025-05-01,0.16174746290758688,-2.936
